timestamp,emotion
2025-06-18 00:02:57.248259,Sad
2025-06-18 00:02:57.508760,Happy
2025-06-18 00:02:57.605817,Happy
2025-06-18 00:02:57.705427,Happy
2025-06-18 00:02:57.908931,Happy
2025-06-18 00:02:58.039485,Sad
2025-06-18 00:02:58.141355,Happy
2025-06-18 00:02:58.240002,Happy
2025-06-18 00:02:58.309313,Happy
2025-06-18 00:02:58.406947,Happy
2025-06-18 00:02:58.505193,Happy
2025-06-18 00:02:58.573945,Happy
2025-06-18 00:02:58.645450,Happy
2025-06-18 00:02:58.739322,Happy
2025-06-18 00:02:58.806595,Happy
2025-06-18 00:02:58.873371,Happy
2025-06-18 00:02:58.972861,Happy
2025-06-18 00:02:59.039348,Happy
2025-06-18 00:02:59.106231,Happy
2025-06-18 00:02:59.172562,Happy
2025-06-18 00:02:59.242158,Happy
2025-06-18 00:02:59.338213,Happy
2025-06-18 00:02:59.405574,Happy
2025-06-18 00:02:59.472846,Happy
2025-06-18 00:02:59.539389,Happy
2025-06-18 00:02:59.612220,Happy
2025-06-18 00:02:59.705388,Happy
2025-06-18 00:02:59.772360,Happy
2025-06-18 00:02:59.839132,Happy
2025-06-18 00:02:59.905538,Happy
2025-06-18 00:02:59.972653,Happy
2025-06-18 00:03:00.039342,Happy
2025-06-18 00:03:00.108988,Happy
2025-06-18 00:03:00.204400,Happy
2025-06-18 00:03:00.272317,Happy
2025-06-18 00:03:00.363222,Happy
2025-06-18 00:03:00.439123,Happy
2025-06-18 00:03:00.504985,Happy
2025-06-18 00:03:00.572110,Happy
2025-06-18 00:03:00.671117,Happy
2025-06-18 00:03:00.738273,Happy
2025-06-18 00:03:00.805983,Happy
2025-06-18 00:03:00.904769,Happy
2025-06-18 00:03:00.972365,Happy
2025-06-18 00:03:01.041139,Neutral
2025-06-18 00:03:01.136840,Happy
2025-06-18 00:03:01.204306,Happy
2025-06-18 00:03:01.271969,Happy
2025-06-18 00:03:01.338756,Happy
2025-06-18 00:03:01.405108,Happy
2025-06-18 00:03:01.471932,Happy
2025-06-18 00:03:01.539188,Happy
2025-06-18 00:03:01.637714,Happy
2025-06-18 00:03:01.705484,Happy
2025-06-18 00:03:01.771935,Happy
2025-06-18 00:03:01.837948,Happy
2025-06-18 00:03:01.907980,Happy
2025-06-18 00:03:02.004775,Happy
2025-06-18 00:03:02.071325,Happy
2025-06-18 00:03:02.137888,Happy
2025-06-18 00:03:02.205583,Happy
2025-06-18 00:03:02.271471,Happy
2025-06-18 00:03:02.371047,Happy
2025-06-18 00:03:02.437909,Happy
2025-06-18 00:03:02.504786,Happy
2025-06-18 00:05:14.589062,Happy
2025-06-18 00:05:14.732132,Happy
2025-06-18 00:05:14.801093,Happy
2025-06-18 00:05:14.866964,Happy
2025-06-18 00:05:14.933022,Neutral
2025-06-18 00:05:14.998468,Happy
2025-06-18 00:05:15.086534,Happy
2025-06-18 00:05:15.168713,Happy
2025-06-18 00:05:15.233501,Neutral
2025-06-18 00:05:15.301743,Sad
2025-06-18 00:05:15.366736,Sad
2025-06-18 00:05:15.434594,Sad
2025-06-18 00:05:15.501266,Happy
2025-06-18 00:05:15.567066,Neutral
2025-06-18 00:05:15.634259,Happy
2025-06-18 00:05:15.700628,Happy
2025-06-18 00:05:15.766647,Neutral
2025-06-18 00:05:15.833913,Happy
2025-06-18 00:05:15.900408,Happy
2025-06-18 00:05:15.967394,Happy
2025-06-18 00:05:16.035662,Sad
2025-06-18 00:05:16.098891,Happy
2025-06-18 00:05:16.166496,Happy
2025-06-18 00:05:16.234375,Happy
2025-06-18 00:05:16.299415,Happy
2025-06-18 00:05:16.366574,Happy
2025-06-18 00:05:16.433524,Happy
2025-06-18 00:05:16.500232,Happy
2025-06-18 00:05:16.567067,Happy
2025-06-18 00:05:16.632524,Happy
2025-06-18 00:05:16.699858,Happy
2025-06-18 00:05:16.766788,Happy
2025-06-18 00:05:16.835831,Happy
2025-06-18 00:05:16.897798,Happy
2025-06-18 00:05:16.966688,Happy
2025-06-18 00:05:17.033124,Happy
2025-06-18 00:05:17.100198,Happy
2025-06-18 00:05:17.165060,Happy
2025-06-18 00:05:17.233171,Happy
